,Date,Open,High,Low,Close,Volume,Adj Close
0,2018年9月12日,1110,1115,1074,1079,1050800,1079
1,2018年9月11日,1124,1124,1094,1114,1271400,1114
2,2018年9月10日,1138,1144,1132,1134,410500,1134
3,2018年9月7日,1145,1145,1121,1141,670000,1141
4,2018年9月6日,1155,1156,1143,1147,578800,1147
5,2018年9月5日,1174,1179,1162,1164,451900,1164
6,2018年9月4日,1187,1191,1167,1174,601900,1174
7,2018年9月3日,1218,1219,1171,1173,943800,1173
8,2018年8月31日,1235,1238,1223,1223,613100,1223
9,2018年8月30日,1228,1240,1222,1234,475500,1234
10,2018年8月29日,1212,1228,1212,1217,371500,1217
11,2018年8月28日,1230,1232,1206,1210,478600,1210
12,2018年8月27日,1213,1223,1210,1221,501400,1221
13,2018年8月24日,1197,1210,1188,1206,397300,1206
14,2018年8月23日,1189,1196,1181,1193,303900,1193
15,2018年8月22日,1180,1190,1171,1188,339000,1188
16,2018年8月21日,1159,1183,1156,1172,397100,1172
17,2018年8月20日,1167,1172,1155,1159,306800,1159
18,2018年8月17日,1152,1162,1141,1161,457000,1161
19,2018年8月16日,1129,1149,1122,1138,397500,1138
0,2018年8月15日,1152,1165,1128,1141,614800,1141
1,2018年8月14日,1135,1158,1131,1152,639800,1152
2,2018年8月13日,1131,1148,1120,1124,682500,1124
3,2018年8月10日,1132,1148,1125,1136,567000,1136
4,2018年8月9日,1150,1153,1132,1132,514100,1132
5,2018年8月8日,1129,1154,1119,1145,651400,1145
6,2018年8月7日,1141,1147,1117,1130,969000,1130
7,2018年8月6日,1170,1171,1141,1150,926000,1150
8,2018年8月3日,1190,1201,1161,1168,1581300,1168
9,2018年8月2日,1139,1174,1133,1170,2024400,1170
10,2018年8月1日,1234,1239,1119,1131,4611200,1131
11,2018年7月31日,1350,1357,1328,1354,925400,1354
12,2018年7月30日,1351,1351,1325,1338,757600,1338
13,2018年7月27日,1357,1367,1346,1356,632100,1356
14,2018年7月26日,1344,1346,1333,1341,379300,1341
15,2018年7月25日,1331,1331,1319,1327,384900,1327
16,2018年7月24日,1312,1325,1302,1322,443400,1322
17,2018年7月23日,1286,1302,1279,1301,578200,1301
18,2018年7月20日,1294,1300,1269,1276,730800,1276
19,2018年7月19日,1322,1322,1292,1296,612500,1296
0,2018年7月18日,1332,1340,1308,1315,478400,1315
1,2018年7月17日,1309,1327,1301,1315,318200,1315
2,2018年7月13日,1293,1305,1286,1301,365400,1301
3,2018年7月12日,1289,1297,1281,1286,348900,1286
4,2018年7月11日,1304,1305,1278,1288,526800,1288
5,2018年7月10日,1353,1355,1312,1312,478100,1312
6,2018年7月9日,1316,1343,1305,1331,474100,1331
7,2018年7月6日,1302,1306,1271,1301,757900,1301
8,2018年7月5日,1332,1334,1293,1302,721800,1302
9,2018年7月4日,1330,1346,1317,1342,558000,1342
10,2018年7月3日,1369,1375,1309,1320,955800,1320
11,2018年7月2日,1400,1407,1350,1350,1280300,1350
12,2018年6月29日,1453,1456,1428,1429,566400,1429
13,2018年6月28日,1470,1477,1441,1450,642300,1450
14,2018年6月27日,1486,1500,1474,1487,371600,1487
15,2018年6月26日,1451,1489,1437,1485,512000,1485
16,2018年6月25日,1505,1505,1461,1467,412500,1467
17,2018年6月22日,1476,1501,1475,1501,352600,1501
18,2018年6月21日,1499,1514,1494,1497,448300,1497
19,2018年6月20日,1499,1505,1470,1503,601400,1503
0,2018年6月19日,1519,1527,1497,1499,425100,1499
1,2018年6月18日,1527,1529,1508,1524,353100,1524
2,2018年6月15日,1540,1543,1523,1526,256700,1526
3,2018年6月14日,1530,1545,1520,1532,323300,1532
4,2018年6月13日,1520,1538,1516,1537,274700,1537
5,2018年6月12日,1524,1524,1504,1519,438400,1519
6,2018年6月11日,1534,1534,1516,1519,299700,1519
7,2018年6月8日,1502,1535,1502,1527,589500,1527
8,2018年6月7日,1497,1516,1490,1514,467600,1514
9,2018年6月6日,1510,1510,1482,1484,381900,1484
10,2018年6月5日,1522,1545,1502,1513,719400,1513
11,2018年6月4日,1485,1514,1477,1511,836400,1511
12,2018年6月1日,1458,1487,1455,1480,629600,1480
13,2018年5月31日,1449,1465,1448,1461,629500,1461
14,2018年5月30日,1414,1436,1413,1430,350400,1430
15,2018年5月29日,1450,1455,1430,1436,351700,1436
16,2018年5月28日,1464,1470,1445,1455,430700,1455
